numero_registro,marca_comercial,titular_registro,classe_categoria_agronomica,ingrediente_ativo,classificacao_toxicologica,classificacao_ambiental,formulacao,ingrediente_ativo_detalhado,documento_cadastrado,produto_formulado_vinculado,url_agrofit
TC13223,['Dicamba Técnico Stockton'],Globachem Proteção de Cultivos do Brasil Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Dicamba-Tecnico-Stockton_Rotulo-Agrofit_20240402', 'tipo_documento': 'Rótulo', 'data_inclusao': '02/04/2024 11:52:03', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=479818&p_nm_file=F1468075039/Dicamba-Tecnico-Stockton_Rotulo-Agrofit_20240402.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Dicamba 480 SL Stockton'], 'numero_registro': '27028/18R', 'titular_registro': 'Globachem Proteção de Cultivos do Brasil Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14964
TC06920,['Dicamba Técnico Sulphur Mills'],SM Agrocare Brasil Importação Comércio e Serviços Agrícolas Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'Rótulo_Dicamba Técnico Sulphur Mills_24_11_2023', 'tipo_documento': 'Rótulo', 'data_inclusao': '24/11/2023 13:33:44', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=469990&p_nm_file=F1193115022/R%C3%B3tulo_Dicamba%20T%C3%A9cnico%20Sulphur%20Mills_24_11_2023.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14853
33517,['Dicamba Técnico Sumitomo'],Sumitomo Chemical Brasil Indústria Química S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],I - Produto Extremamente Tóxico,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Dicamba-Tec-Sumitomo_RT-Agrofit_2023-05-26_Rev03', 'tipo_documento': 'Rótulo', 'data_inclusao': '26/05/2023 08:50:10', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=453925&p_nm_file=F493573787/Dicamba-Tec-Sumitomo_RT-Agrofit_2023-05-26_Rev03.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Xeique'], 'numero_registro': '30424', 'titular_registro': 'Sumitomo Chemical Brasil Indústria Química S.A.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=11718
TC01721,['Dicamba Técnico Sumitomo BR'],Sumitomo Chemical Brasil Indústria Química S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (965 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '965', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '96,5'}]","[{'descricao': 'Dicamba-Tec-Sumitomo-BR_RT-Agrofit_2023-05-26_Rev01', 'tipo_documento': 'Rótulo', 'data_inclusao': '26/05/2023 08:52:23', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=453926&p_nm_file=F183460725/Dicamba-Tec-Sumitomo-BR_RT-Agrofit_2023-05-26_Rev01.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Xeique'], 'numero_registro': '30424', 'titular_registro': 'Sumitomo Chemical Brasil Indústria Química S.A.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=12744
TC10122,['Dicamba Técnico Syn'],Syngenta Proteção de Cultivos Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'DICAMBA TÉCNICO SYN_28.06.2022', 'tipo_documento': 'Rótulo', 'data_inclusao': '28/06/2022 16:34:41', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=429628&p_nm_file=F1308799844/28.06.2022_layout_DICAMBA%20T%C3%89CNICO%20SYN.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Xtendicam'], 'numero_registro': '17816', 'titular_registro': 'Monsanto do Brasil Ltda'}, {'marca_comercial': ['Roundup Xtend'], 'numero_registro': '33125', 'titular_registro': 'Monsanto do Brasil Ltda'}, {'marca_comercial': ['Xtendimax 2'], 'numero_registro': '42425', 'titular_registro': 'Monsanto do Brasil Ltda'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14653
TC04325,['Dicamba Técnico Tecnomyl'],Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'RT_DICAMBA_TC_TECNOMYL_02052025', 'tipo_documento': 'Rótulo', 'data_inclusao': '05/05/2025 14:22:27', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=520244&p_nm_file=F774180248/RT_DICAMBA_TC_TECNOMYL_02052025.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14963
TC03523,['Dicamba Técnico Tide'],Tide do Brasil Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]",[],[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14016
TC08921,['Dicamba Técnico Tide II'],Tide do Brasil Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '22/06/2021 14:26:42', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=403865&p_nm_file=F1819144847/R%C3%B3tulo%20Dicamba%20T%C3%A9cnico%20Tide%20II%2020210622.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14445
TC08121,['Dicamba Técnico UPL'],UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': '04_DICAMBA TÉCNICO UPL_RÓTULO_MAPA (2024 10 24)', 'tipo_documento': 'Rótulo', 'data_inclusao': '04/11/2024 08:39:23', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=499521&p_nm_file=F1236975491/04_DICAMBA%20T%C3%89CNICO%20UPL_R%C3%93TULO_MAPA%20(2024%2010%2024).pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=13350
TC12125,['Dicamba Técnico Wynca'],Proregistros Registros de Produtos Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'ROTULO - DICAMBA TECNICO WYNCA (13-08-2025)', 'tipo_documento': 'Rótulo', 'data_inclusao': '13/08/2025 13:21:37', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=529088&p_nm_file=F1601500839/ROTULO_DICAMBA_T%C3%89CNICO_WYNCA_(13-08-2025).pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15135
2099,['Dicloran Técnico'],Gowan Produtos Agrícolas Ltda.,['Fungicida'],['diclorana (cloroaromático) (950 g/kg)'],III - Produto Moderadamente Tóxico,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'dicloran', 'grupo_quimico': 'cloroaromático', 'concentracao': '950', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '95'}]","[{'descricao': '20230921_Rótulo_Dicloran Técnico', 'tipo_documento': 'Rótulo', 'data_inclusao': '22/09/2023 12:10:29', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=465234&p_nm_file=F307789735/20230921_R%C3%B3tulo_Dicloran%20T%C3%A9cnico%20Isagro.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Botran 750'], 'numero_registro': '3799', 'titular_registro': 'Gowan Produtos Agrícolas Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=5874
19116,['Diclosulam Técnico'],CTVA Proteção de Cultivos Ltda,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (943 g/kg)'],III - Produto Moderadamente Tóxico,II - Produto Muito Perigoso ao Meio Ambiente,Sólido,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '943', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '94,3'}]","[{'descricao': 'Rotulo_AGROFIT_DiclosulamTecnico_2025_10_02', 'tipo_documento': 'Rótulo', 'data_inclusao': '03/10/2025 10:21:38', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=534225&p_nm_file=F1170841223/Rotulo_AGROFIT_DiclosulamTecnico_2025_10_02.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Spider 840 WG'], 'numero_registro': '5097', 'titular_registro': 'CTVA Proteção de Cultivos Ltda'}, {'marca_comercial': ['Texaro'], 'numero_registro': '13522', 'titular_registro': 'CTVA Proteção de Cultivos Ltda'}, {'marca_comercial': ['Paxeo'], 'numero_registro': '28021', 'titular_registro': 'CTVA Proteção de Cultivos Ltda'}, {'marca_comercial': ['Teralis'], 'numero_registro': '34125', 'titular_registro': 'CTVA Proteção de Cultivos Ltda'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14525
TC06825,['Diclosulam Técnico Alta'],ALTA - America Latina Tecnologia Agrícola Ltda.,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'Rótulo - Diclosulam Técnico Alta - 01/04/2025', 'tipo_documento': 'Rótulo', 'data_inclusao': '01/04/2025 10:53:45', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=517780&p_nm_file=F1388910619/R%C3%B3tulo%20DICLOSULAM%20TC%20ALTA%2001.04.2025.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15653
TC28325,['Diclosulam Técnico Avgust'],Avgust Crop Protection Importação e Exportação Ltda.,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': '2025_288_Diclo Tec_Rotulo completo', 'tipo_documento': 'Rótulo', 'data_inclusao': '11/12/2025 12:45:10', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=539594&p_nm_file=F2067154740/2025_288_Diclo%20Tec_Rotulo%20completo.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=19509
TC21325,['Diclosulam Técnico Bioseen'],Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (975 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '975', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97,5'}]","[{'descricao': 'Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '03/10/2025 14:39:09', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=534256&p_nm_file=F1302080846/2025.10.03_RotAgrofit_DiclosulamTecnicoBioseen.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14549
TC05825,['Diclosulam Técnico Cropchem'],Cropchem Ltda,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]",[],[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14498
TC19924,['Diclosulam Técnico FB'],Agroallianz S.A,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'RT - Rev00 Diclosulam Tecnico FB - jan25', 'tipo_documento': 'Rótulo', 'data_inclusao': '17/01/2025 14:56:19', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=512209&p_nm_file=F893493734/RT%20-%20Rev00%20Diclosulam%20Tecnico%20FB%20-%20jan25.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Predecessor'], 'numero_registro': '17125', 'titular_registro': 'Agroallianz S.A'}, {'marca_comercial': ['Partner 840 WG', 'Terra 840 WG'], 'numero_registro': '25825', 'titular_registro': 'Agroallianz S.A'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=16039
TC28025,['Diclosulam Técnico Loveland'],Nutrien Soluções Agrícolas Ltda.,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]",[],[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=16252
TC19925,['Diclosulam Técnico NGC'],Syncrom Assessoria e Comércio de Produtos Agropecuários  Ltda.,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (975 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TC - Ativo de Grau Técnico,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '975', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97,5'}]",[],[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=18541
TC10825,['Diclosulam Técnico Nortox'],Nortox S.A.,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'Diclosulam Técnico Nortox-Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '09/07/2025 16:41:05', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=526047&p_nm_file=F1836560916/Diclosulam%20T%C3%A9cnico%20Nortox-R%C3%B3tulo.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14483
TC28125,['Diclosulam Técnico RTM'],Albaugh Agro Brasil Ltda.,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (975 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '975', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97,5'}]","[{'descricao': 'Diclosulam-Tec-RTM_RT_2025-12-08', 'tipo_documento': 'Rótulo', 'data_inclusao': '08/12/2025 08:57:08', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=539369&p_nm_file=F2112259252/Diclosulam-Tec-RTM_RT_2025-12-08.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=20120
TC07925,['Diclosulam Técnico Tecnomyl'],Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda,['Herbicida'],['diclosulam (sulfonanilida triazolopirimidina) (975 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'diclosulam', 'grupo_quimico': 'sulfonanilida triazolopirimidina', 'concentracao': '975', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97,5'}]","[{'descricao': 'RT_DICLOSULAM_TC_TECNOMYL_02052025', 'tipo_documento': 'Rótulo', 'data_inclusao': '05/05/2025 14:35:42', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=520262&p_nm_file=F1275053941/RT_DICLOSULAM_TC_TECNOMYL_02052025.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14922
5114,['Difcor Tecnico'],Globachem Proteção de Cultivos do Brasil Ltda.,['Fungicida'],['difenoconazol (triazol) (970 g/kg)'],I - Produto Extremamente Tóxico,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'difenoconazole', 'grupo_quimico': 'triazol', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'Difcor-Tecnico_Rotulo-Agrofit_20240401', 'tipo_documento': 'Rótulo', 'data_inclusao': '01/04/2024 11:30:40', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=479727&p_nm_file=F2035680680/Difcor-Tecnico_Rotulo-Agrofit_20240401.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Parapente', 'Corsica', 'Tangens'], 'numero_registro': '34523', 'titular_registro': 'Globachem Proteção de Cultivos do Brasil Ltda.'}, {'marca_comercial': ['Parachute', 'Corsica Max'], 'numero_registro': '01923', 'titular_registro': 'Globachem Proteção de Cultivos do Brasil Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=10325
TC14720,['Difen Técnico'],CHDS do Brasil Comércio de Insumos Agrícolas Ltda,['Fungicida'],['difenoconazol (triazol) (950 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'difenoconazole', 'grupo_quimico': 'triazol', 'concentracao': '950', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '95'}]","[{'descricao': 'Rótulo 24/02/2022', 'tipo_documento': 'Rótulo', 'data_inclusao': '24/02/2022 07:49:54', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=419603&p_nm_file=F2030099036/Difen-Tec_RT_2022-02-22.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Difeno Fertil'], 'numero_registro': '54487/18R', 'titular_registro': 'Solus do Brasil Ltda.'}, {'marca_comercial': ['Difeno FRL'], 'numero_registro': '54289/18R', 'titular_registro': 'Solus do Brasil Ltda.'}, {'marca_comercial': ['Erradik', 'Stiva'], 'numero_registro': '36321', 'titular_registro': 'CHDS do Brasil Comércio de Insumos Agrícolas Ltda'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=10293
